example_id,candidate_intent,customer_message,support_response,golden_intent,label_notes
17,account_access,@SpotifyCares Help! I need to delete my Facebook linked account . I log in and it reactivates my Facebook 🤦🏽‍♀️,@463559 Hey Lydia! Can you DM us your account's email address or username? We'll take a look /NS,,
18,account_access,@121122 the password and associated email have been changed so I have no access. I am in talk with someone on Spotify Gchat! Thank you.,"@668448 Hey Bernadette, in case you have other concerns, don't hesitate to get back in touch /TM",,
19,account_access,"@SpotifyCares hey, I’ve sent you a DM because my account has been hacked. Can you give me an ETA about when could I have a response? Already removed authorized apps and changed password.",@485266 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /RB,,
20,account_access,@115888 You app continues to re-enable startup at login. Why are you forcing this? I mean this is still my mac right?,@139552 Hey! Help's here. What OS X and Spotify versions are you rocking? We'll see what we can suggest /TM,,
21,premium_subscription,"@SpotifyCares iOS, 7 Plus, Spotify Premium v: 8.4.26.793",@173824 Thanks! Can you try to log out > do a soft reset on your device by holding Home + Lock for 10 seconds > log back in? Let us know if that helps /KT,,
22,premium_subscription,@SpotifyCares payment for student premium only via credit card or there will be another way?,"@304689 Right now, the payment options for the student discount are credit and debit cards only. Hope that helps /NQ",,
23,premium_subscription,@117153 I've paid for the premium account but it's still not working can I know why pls?,@183663 Hi there! Can you DM us your account's email address? We'll have a look backstage /ST,,
24,premium_subscription,@148611 nag subscribe ako ng premium..bakit naka free mode pa din ako..ano na..,@521366 Hey there! Hope you don't mind if we reply in English. What's happening exactly? We'll see what we can suggest /GK,,
25,premium_subscription,"@118266 halo min, untuk channel pembayaran spotify premiumnya bisa di tambahin jaringan Indomaret?","@431965 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /CO",,
26,premium_subscription,@SpotifyCares Cool. Do you ever compensate customers for their lost access during glitches and bug outs? Because I pay for premium access and am frustrated by your service several times every week.,"@351439 Sorry to hear you feel that way. We're afraid we're unable to compensate you, but rest assured we'll pass on your feedback to the right team /JS",,
27,premium_subscription,@SpotifyCares family premium invite fails over and over again,@682342 Hi Geoff! We've just sent you a bit more info over DM. We'll carry on helping out there 🙂 /TB,,
28,premium_subscription,@117153 i´ve been paying for premium and i have spotify free... why?,"@659253 Hey there! For security reasons, we'd suggest deleting your previous tweet because it contains private info. Can you DM us instead? /LO",,
29,premium_subscription,@SpotifyCares hi I’m supposed to have premium account till next year but it’s not working.. help yo girl out please and thank you,@362712 We've just sent you a DM 🙂 /SU,,
30,premium_subscription,WHY MY SPOTIFY CAN'T DOWNLOAD ANY SONGS ?! SUCH A WASTE OF MONEY WHEN I BOUGHT FOR THE PREMIUM ACCOUNT !! ARGH !!,@251620 Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /PB,,
31,premium_subscription,@117168 Is it possible to pay for premium with iTunes cards?,"@118149 Hey there! We're afraid that paying via iTunes is not possible at the moment, but we have different payment options available. To find an eligible payment method that'll work best for you, head to Let us know if there's anything else /FR",,
32,premium_subscription,@SpotifyCares I have Spotify premium but I thought I had premium student and I want to add a Hulu account to it. How do I switch to Spotify student without making a new account?,"@351330 Hey Tay, help's here! Could you DM us your email address and username? We'll take a closer look /JQ",,
33,premium_subscription,When will you have promo for premium again?hehe @148611,@462026 Hey there! Can you DM us your account's email address? We'll see what we can suggest /RB,,
34,premium_subscription,@115888 HUHU SORRY PO LODI MAHAL KITA @115888 WAG NYONG TANGGALIN PREMIUM KO PLS HHASJHSHAHA 💕,"@559209 No worries! We won't do anything on your subscription. If there's anything else, just let us know 💚 /AP",,
35,premium_subscription,@115888 Stop my premium ads. If your payment options allowed me to pay then I'd pay. Stop interrupting or let me buy it 😡,"@150367 Hey Summer, we'd love to help. Can you DM us your account's username or email address? We'll take a look backstage /JP",,
36,premium_subscription,@SpotifyCares hello! does spotify still take a visa gift card as a form of payment for premium?,@634994 Hey there! We accept gift cards as long as these requirements are met: Hope this clears things up /MA,,
37,premium_subscription,"@SpotifyCares why was my student account changed to a regular premium subscription, even though I resubscribed as a student in September?",@586034 Hi Julie! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood /AU,,
38,premium_subscription,"@SpotifyCares Hi, it's like i need help with a playlist that is in my old account, i just want to have it in my new account ( i made a new account to dislink the fb ) but i thought in premium i'd have the chance, any help :(",@758403 Hey! We've just replied to your DM. Let's continue chatting there /GT,,
39,premium_subscription,@115888 How do you access Hulu if you already have premium?,@308270 Hi there! Can you DM us your account's email address or username? We'll see what we can suggest /NQ,,
40,premium_subscription,"@116130 @115888 I sent you a DM regarding my subscription, can you please reply","@273702 2: address, that would be very helpful /RR",,
41,billing_payment,"@115888 @6443 I've been 2 charged for my acct. Have a family acct, and was charged as family and personal acct. Pls reimburse me.",@572185 Hey Felipe! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR,,
42,billing_payment,@SpotifyCares hi Im trying to update my payment information but it’s not letting me because it only gives me the student option,"@791703 Hey, help's arrived! Can you send us your account's email address or username via DM? We'll take a look /GT",,
43,billing_payment,@117153 my payment has already been debited and my signature has not yet been released and not confirmation email you can solve it???,@548042 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS,,
44,billing_payment,@SpotifyCares Double charged twice. Are there anyways so I can get back the double charged money?,"@452533 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /JN",,
45,billing_payment,"I tried to contact spotify and Doku as my payment gateway, both said my payment is successful but my premium subs still not active",@517801 We've just sent you a bit more info over DM. We'll carry on helping out there /CP,,
46,billing_payment,@SpotifyCares I cancelled my subscription and you still charged me for this month,@175425 Hi! We've just replied to your DM. We'll carry on helping there /MQ,,
47,billing_payment,@117153 Good Morning! App updated and my Premium Status seems to have went away. It is showing that a payment was accepted the 12th,"@574600 Hi Brandon, help's here! Can you DM us your account's email address? We'll check under the hood and see what we can do for you /NY",,
48,billing_payment,@SpotifyCares HELP!!! I need answers about my payment!!!!!,@245359 Hey Charlie! Could you send us a DM with your account's email address and what you need help with? We'll see what we can do about it /QI,,
49,billing_payment,@SpotifyCares My accounts been charged for premium use even though I’ve had an unchanged student plan for over a year..can someone help pls,@706772 Hi! Help's here. Can you DM us your account's username and email address? We'll take a closer look /SV,,
50,billing_payment,@SpotifyCares I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,@323527 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY,,
51,billing_payment,"@117153 @SpotifyCares Just signed up for the student discount with Hulu, got charged but nothing happened. My profile and desktop app say that I’m still on free",@567197 Hey there! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN,,
52,billing_payment,@SpotifyCares. Hello I tried to update my payment card it still shows the same old card but already charged me two times from the new one,@509629 Hey there! Can you DM us your account's email address or username? We'll take a look /TJ,,
53,billing_payment,"@115888 can someone please get a hold of me,,,,, i need a refund and cancel, i have email and tweeted your spotifycare and get no response",@664581 Hey Lynda! We've just replied to your DM. Let's continue chatting there /GT,,
54,billing_payment,@SpotifyCares I have a £4.99/month student account. Why did you charge me £9.99 this month?!,@150365 Hi Lydia! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,,
55,billing_payment,@116130 why am i being charged twice. One payment of 9.99 and one of 4.99 (as im a student),"@235101 Hey Toby, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR",,
56,billing_payment,@115888 refund ?,"@253681 Hey, sorry to hear this! Can you let us know your account's email address? We'll look into it /GS",,
57,billing_payment,"Keep an eye on your credit card statements for unauthorized charges from @115888 and the phone number showing on the credit card statement, to contact Spotify, is not a working number #fraud","@577558 Hey! We don't have telephone support, but we'll help here. Can you DM us a screenshot of how the charge appears on the bank statement? /JL",,
58,billing_payment,@115888 cant log in it wont accept my email address !!! Your still billing me with no access ??,@390105 Hi there. Can you DM us your account's email address? We'll take a look backstage /LM,,
59,billing_payment,@115888 I got your offer for yearly premium payment (2 months off). But there is nothing to click/tap on the promo-page to subscribe. (And the promo won’t pop up again in the app). How can I subscribe to the offer now?,@254420 Hey there! Can you try using the incognito mode on your browser to visit Signing in through a different device such as desktop computer would be helpful too. Let us know how it goes /NQ,,
60,billing_payment,@148611 @SpotifyCares I just cancelled my premium subscription cos you guys are giving me the hardest time paying my subscription via mobile payment. Pls do something about this!!! I loaded 300 in total using 2 phones! 150 for each phone 😭,"@717830 @115888 Hi there! Don't worry, we'll sort this out. Can you send us a DM with your account's email address? We'll check behind the scenes /NJ",,
61,family_plan,@115888 i'vr been trying to access premium family plan with my roomate but has been impossible..and the address is the same. Please advise,"@727433 Hey there, help's here! Can you DM us your account's email address and username? We'll take a look backstage 🙂 /CG",,
62,family_plan,@115888 I have a question about the Family Premium Memberships,"@436847 Hey Russ, help's arrived! What would you like to know about our Premium for Family plan? On another note, you can find out more about Premium for Family over here: Let us know if you need anything /JQ",,
63,family_plan,@SpotifyCares need some help figuring out the family plan. Setting up one for my mom but the account isnt working.,@160411 Hey there! Can you DM us the email address on your mom's account? We'll take a look backstage /SY,,
64,family_plan,@SpotifyCares what happen if you forget to verify your account during the 7 days and now you have been drop off your Family Premium account?,"@653077 Hi Bea! We'll look into this for you. We also just replied to your DM, so let's carry on chatting there 🙂 /RR",,
65,family_plan,"@SpotifyCares I just signed up for your 1 year upfront payment plan, but now I want to switch to a family plan. How do I do that? Can I get a refund on the upfront payment?",@253689 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,,
66,family_plan,I need help with my Spotify Premium Family account @SpotifyCares. Frustrating I can't just email or call someone,@413444 Hi Susan! We've just replied to your DM. Let's continue chatting there /JL,,
67,family_plan,@115888 How are you gonna cancel my spotify family premium plan and now won't even let me sign back up for it?!,"@614788 Hey there, we're here to help! Could you DM us your account's username and email address? We'll check backstage for you /BX",,
68,family_plan,@117153 I have created a new premium family account. When I go to the page to invite people it's blank,"@545525 Hi there. Don't worry, help's here. Can you DM us your username or email address so we can take a look? /JU",,
69,family_plan,"@117153 Hi, I'm currently facing problem in joining a family plan. I have submit my information over and over again but I can't seem",@584477 Hey! Help's here. Can you DM us your account's email address and username? We'll take a look backstage /BD,,
70,family_plan,"@SpotifyCares. problem with my family premium account, cannot get any of myfamily members to join. address problem. __email__",@611363 Hi Serena! We'd suggest deleting your previous tweet that contains your email address. Can you send this via DM instead? /DR,,
71,family_plan,@115888 @spotifycares My premium account was hacked. My playlists are gone and none of my family accounts can login.,@580616 Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF,,
72,family_plan,@115888 @117168 @SpotifyCares Why can't Family Plan subscribers pay a year in advance and save like normal premium subscribers??,"@419716 Hey there! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /CG",,
73,family_plan,@SpotifyCares I’m having trouble with my family plan I’ve tried to add my girlfriend but it keeps asking her to re-enter our address.,@417821 Hey there! Could you DM us the usernames or email addresses on your and your girlfriend's accounts? We'll take a look under the hood /LP,,
74,family_plan,"Hey @SpotifyCares family account , added member - gets mail, activated. Shows as added in dashboard but when they sign in it's still a free account. Reinstalled and tried mob/Mac. No luck. Can you help?",@140640 Hey Alisdair! Can you DM us the account's email address or username? We'll take a look backstage /KM,,
75,family_plan,@115888 Your family plan for premium users doesn't work! Please fix asap!,"@697067 Hi Arthur, could you DM us your account's username or email address? We'll take a look backstage /JO",,
76,family_plan,@SpotifyCares I can't add my son to the PREMIUM family account.,@378965 Hey Roy! Can you Dm us your account's username and email address as well as your son's? We'll take a look backstage /TF,,
77,family_plan,@SpotifyCares i need help with my family plan,@178805 Hi! We've just sent a DM your way. Let's carry on chatting there /CO,,
78,family_plan,@SpotifyCares Someone just gifted me 12 months of Premium which is awesome but how does this affect paying for a Family Premium plan?,@163701 Hey Lewis! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /PK,,
79,family_plan,"Dear @SpotifyCares - I have Premium for Family, but when I try to invite my wife, her 'Confirmation' page says ""you are about to join the family plan of (her name)"" - when it should be mine... Can you help?","@250118 Hey Kelvin, the cavalry's here! Can you fire your and your wife's email addresses or usernames via DM? We'll check things backstage /TK",,
80,family_plan,"@115888 Good afternoon. I made payment for family premium accounts, but did not update account status. Iphone 6, iOS 10.2.1.",@597468 Hey Lucas! We've sent a DM your way. We'll carry on helping you there /SJ,,
81,student_plan,"@116130 im trying to activate my student discount on @260711 but every time I do it asked me to enter my card details... but I already have a Spotify account, is this correct?",@260710 Hey Holley! Could you send us your account's username or email address? We'll take a look and see what we can suggest 🔍 /DB,,
82,student_plan,@SpotifyCares I was wondering hoe often do I have to renew my student discount. The last time I renewed it was in July and I have been charged to the full $9.99 montly for the past 3 months including this month so that means I renewed it and it was $4.99 for 1 month.,@532714 Hey there! Can you DM us your account's email address or username? We'll check backstage /AR,,
83,student_plan,"@SpotifyCares, I want to merge my Spotify and Hulu account but it wont let me. I am subscribed in the student program. 👨‍🎓",@502762 Hi there! We've just sent a DM your way. Let's carry on chatting there /FR,,
84,student_plan,@115888 How? I've been using the Spotify student premium but how do I use it for Hulu??,@177062 Hi there! Can you DM us your account's email address? We'll take a look backstage /AU,,
85,student_plan,@SpotifyCares I recently got a student discount but I'm on Spotify Preminum do I still have to pay 9.99 after Premium or will I be paying 4.99 for Student Discount or do I pay for both?,"@538504 Hi, help's arrived! You'll only be charged 4.99 USD once the student discount's on your account. Let us know if you need anything else /JQ",,
86,student_plan,@5795 would loooove to take my students from #ScriptEd on a field trip to your office this year..we did so last year and for a lot of students was VERY mind-opening..please let me know if you'd be interested 🙌,@590534 Hey David! We suggest getting in touch with our Press team at They'll be able to help you with this 🙂 /LM,,
87,student_plan,@115888 Is it not possible to combine the discount from CapitalOne Quicksilver to the discount for being a student? I asked this question months ago through another method online and never got a response and continued to be billed the same amount which I had attempted to lower.,@795215 Hey! Sorry to hear that. Can you DM us your account's username or email address? We'll take a look under the hood /JS,,
88,student_plan,"@SpotifyCares I have a regular premium subscription right now, how can I change it to get the student pricing and keep my current account?",@814825 Hi there! Can you DM us your account's email address? We'll take a look under the hood /DN,,
89,student_plan,"@SpotifyCares if i sign up for the student discount again, will i be billed twice next time? or do i need to cancel my subscription first?",@708951 Hey there! Can you DM us your account's username or email address? We'll take a look backstage /YM,,
90,student_plan,"@116130 Hi, is there any reason my student account has just charged me full rates this month? 😣👎",@306332 Hey Sam! Can you DM us your account's email address or username? We'll take a look backstage /RH,,
91,student_plan,@115888 #newstudent how do I get half price when I'm already a subscriber?,"@268808 Hi Vicky, help's here! You can upgrade to our student discount here: Let us know if you need anything /JQ",,
92,student_plan,@SpotifyCares I'm trying to update my payment information and it keeps kicking me to Spotify for Students. I'm no longer a student; I just want to update my payment info for a premium account. I think this is a website bug,@226519 Hey there! Can you DM us your account's email address? We'll take a look /RB,,
93,student_plan,"@SpotifyCares Hi there, can you advise me on how to change my premium account to a student one whilst still keeping my playlists etc? Thank you!","@721937 Hi there, we're here to help. Can you DM us your account's email address? We'll take a look /AC",,
94,student_plan,@SpotifyCares I cannot connect to hulu using my spotify student subscription.,"@610871 Hey, help has arrived. Can you DM us your account's email address or username? We'll take a look backstage /RK",,
95,student_plan,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,@242765 Hey Sarah! Can you DM us your account's email address or username along with a screenshot of the exact error message? We'll take a look backstage /KM,,
96,student_plan,@SpotifyCares we would love the opportunity to create a Frost School of Music (University of Miami) solidify account to showcase our wonderful students. Any tips when it comes to organizations?,"@654618 Hey there! This is something for our Artist team. No worries though, you can contact them here: 🙂 /VK",,
97,student_plan,"@SpotifyCares Also I've been paying normal price so why are you even asking for student status, just trying to update card info but wont save",@553308 Hey there! That's not cool. Could you DM us your account's username or email address? We'll take a look backstage /GU,,
98,student_plan,Hi @SpotifyCares you're charging me both the full rate and the student rate?,@569235 Hey Matt! That doesn't sound good. Can you DM us your account's email address? We'll take a look backstage /AU,,
99,student_plan,@SpotifyCares hey! I just got subscribed to spotify premium for students and I got charged twice what do I do?,@350090 Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA,,
100,student_plan,@SpotifyCares can dual enrolled students take advantage of the student discount?,@368157 Hey Linzy! Can you DM us your account's email address or username? We'll take a look /NS,,
101,app_technical_issue,@SpotifyCares No error message. The player disappears when you click on a song and the app doesn’t appear to be doing anything.,"@556756 Hmm. Can you try logging out of Spotify, restarting your device, and logging back in to see if that helps? Keep us posted /NY",,
102,app_technical_issue,"@SpotifyCares Gigabytes of data that Spotify app now says is not offline content. No updates, use it daily and always pay my bill. No storage errors","@574908 We can see where you're coming from. Just to check, is this happening to your downloaded albums or to your offline playlists as well? /AY",,
103,app_technical_issue,"@SpotifyCares I've submitted several support requests over the years, usually the only remedy is resyncing thousands of songs after you guys finally fix whatever bug is blocking me from using the features I pay for. This is a waste of my time (and your bandwidth).",@142363 Apologies for the inconvenience. Could you try reinstalling the app and re-syncing your local files? You can follow the steps here: /MT,,
104,app_technical_issue,@117153 I'm seeing a lot of 503 errors from the API,"@224971 Hey Kurt! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /LO",,
105,app_technical_issue,"@SpotifyCares on Android 8.0 using a Google Pixel and when I try and share a playlist the app crashes, already reinstalled. Ideas?",@416372 Hey! Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon /YM,,
106,app_technical_issue,"@SpotifyCares When I connect student account to my Hulu account i get the error message ""We’re having trouble authorizing your account with Spotify. Please contact Spotify support to help resolve this issue.""",@700861 Hey Patrick! Could you DM us your account's username/email address? We'll take a look and see what's going on /PY,,
107,app_technical_issue,"@SpotifyCares For debir card no, only shows 129, for credit card yes but there's an error. :'( sent a dm",@281863 We've just sent a DM your way. Let's carry on chatting there /DR,,
108,app_technical_issue,@SpotifyCares what's wrong with this app? Crashed 3 times in 30 minutes. 😑,"@485763 Hey there! Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS",,
109,app_technical_issue,"@115888 @spotifycares 3 days and search is still crashing on my Android running 8.0, does Spotify care?",@205425 Hey John! Help's here. Can you get back to us with the device you're using and the Spotify version it's running? /JL,,
110,app_technical_issue,@SpotifyCares I am unable to log in on your website. Pretty much everything i click on throws an error saying to many redirects. I have tried multiple browsers and cleared the cookies on them still no luck.,"@199970 Hey there! Don't worry, help's here. Can you let us know and device and operating system you're using? We'll see what we can suggest /MT",,
111,app_technical_issue,"@SpotifyCares I keep getting this error message. I was previously on the student plan but switched to the family plan, but now I'm going back to the student plan for Hulu and it won't let me verify. All of my information is correct.",@665898 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,,
112,app_technical_issue,"@SpotifyCares I'm having problems with my new family plan- When My family tries to join and enter our address, the error says ""4 - Oops something went wrong, please try again.""",@206410 Hey Matthew! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA,,
113,app_technical_issue,"@SpotifyCares Just listened to Stained Silver again, error at 13 secs and at 2:09",@555656 Thanks for that info! We were able to notice it just now. Can you send over the time stamps for the errors that occur with other tracks? /CB,,
114,app_technical_issue,"@SpotifyCares No offense but the update made things worse, search section is 1/10 now. This includes the new design + performance is buggy.","@408285 Hey Larissa! Sorry to hear this. Don't worry, help's here. Can you let us know what's happening exactly? We'll see what we can suggest /CH",,
115,app_technical_issue,@115888 has Spotify crashed? All my albums have randomly gone for no reason.,"@222226 Hey Jordan, that's not cool. Just to check, did your saved albums get removed from Your Library or did they get undownloaded? /RH",,
116,app_technical_issue,@SpotifyCares Like I would select the song right before HYFR and then in the bottom it would say HYFR is loading up and then it seemed like the album crashed the app would stay open but the bar at the bottom to show what music you have on would glitch out and disappear only with this album,@723613 Can you send us a screenshot of the album as it shows on your app? /LM,,
117,app_technical_issue,"@SpotifyCares hey, trying to go into my Family Overview throws a 504 Gateway Timeout error, what do?","@698112 Hey Jędrek, this is fixed! Everything should now be running as smooth as this guy's voice: If there's anything else, just give us a shout /PK",,
118,app_technical_issue,@115888 @116130 my account is no so secure that I can’t get into it - when I log in with Facebook it says error 404 and when I log in with the code Facebook sends me it says login failed 😣,"@234672 Hey Sophie, help's here! Could you DM us your account's email address and username? We'll take a look backstage 🔍 /CG",,
119,app_technical_issue,@SpotifyCares I use free version but video is not playing @ system crashes after 1 song. Happens on iPhone & iPad.,@330184 That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted /KL,,
120,app_technical_issue,"@SpotifyCares hi. can you help me? i cant login to my account. it says ""an occured error. please try again later""","@257039 Hey there, that's no fun! Could you DM us your account's email address or username? We'll see what we can suggest /JA",,
121,playback_issue,So far not so good @115888 ... can't play my own music... :( trying to make a playlist... but no song is available in Spotify :( .... HAAA,@191952 We've just sent you a bit more info over DM. We'll carry on helping out there /MU,,
122,playback_issue,"Did y’all change something with the shuffle algorithm, @115888? It seems to be working much better now. I can’t put my finger on it, but I’ve definitely noticed a major improvement.","@231399 Hey there, thanks for the feedback! It's music to our ears 🎶 /CG",,
123,playback_issue,Why is not playing trivium in spotify?@115888 @41273,@379442 Hey there! What exactly is going on with your Spotify? We'll see what we can suggest /BH,,
124,playback_issue,"@SpotifyCares I keep having playback problems, every few tracks playback will stop for no apparent reason and need manually restarting","@392823 Hey Damien, help's here! What device are you using when you notice this? Also, is this happening on any other device? Keep us posted /MQ",,
125,playback_issue,"No idea if it's a feature or a bug, but if I leave my OSX @115888 program on (not playing) for the night, the album showing automatically reverts to some Bailando remix by Enrique Iglesias when I return to it in the morning. This is the weirdest thing.","@648174 Hey, that doesn't sound right! Can you DM us your account's email address or username? We'll take a look backstage /KM",,
126,playback_issue,@SpotifyCares If I wanted to shuffle my last 50 songs I would just play them because they are recent. I want to shuffle ALL my songs,"@554225 1: The ""Random"" button mentioned in the link was a suggestion from one of our Community members. By the way, could you...",,
127,playback_issue,"@SpotifyCares why is it that when the app is playing on my av receiver and has been minimised on my HTC m9, the moment I go back to it it cancels playback on my receiver and stops it on phone. It's borderline unusable.",@782996 Hi James! Help's here. Can you let us know the Android and Spotify versions you're rocking? We'll see what we can suggest /DD,,
128,playback_issue,@115888 y’all do know that shuffle doesn’t mean i play one song by an artist & then 10 songs by the same person play in a row??,@554671 Hey there! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /AR,,
129,playback_issue,I'm trying to purchase it on @GooglePlayMusic but it's not letting me. Also the song is on @115888 but it's not playing the song smh,@628503 Hey there! What’s happening exactly? Can you let us know the device/OS you’re using? We'll see how we can help /CO,,
130,playback_issue,@SpotifyCares can't play daft punk,@529541 Hi Luis! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,,
131,playback_issue,"@SpotifyCares I have an iPhone 8 running iOS 11.1 and most current Spotify. See a playlist like Rap Caviar. Only a play option, no shuffle.",@278542 2: then hitting the shuffle button on the Now Playing view? Let us know how everything goes /JE,,
132,playback_issue,"@SpotifyCares No, just when I clicked on Spotify I realized that it logged out. It repeats every day",@336431 That's odd. Can you DM us your account's email address? We'll check under the hood /NY,,
133,playback_issue,@115888 hey i haven't been able to use spotify for weeks because its stuck on some ad that wont play.,"@565640 Hey! Which device, operating system, and version of Spotify are you using? We'll see what we can suggest 🙂 /M",,
134,playback_issue,@SpotifyCares Twice this week on OSX10.13 Can't play certain artists (e.g. Beck/Eminem) Get “Song not avail..” Plays on mobile? Thoughts?,@374348 Hey Conor! That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted /MX,,
135,playback_issue,"I love you, @115888, but can we get an ACTUAL shuffle instead of just one alternate order? Am I making sense? Hello, are you there? I c",@179281 Hey! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /JS,,
136,playback_issue,@115888 I would appreciate it if things like Dark Horse didn’t play when I hit shuffle on Harry Styles’ album. Thank you.,@559237 Hey Morgan! Could you let us know your account's email address or username via DM? We'll check backstage /RK,,
137,playback_issue,@spotifycares can't play any music in album page on Windows 7 64-bit version 1.0.68.407.g6864aaaf. all other music plays fine. attached image to show what it looks like when i try to play a song from album page. if i play the exact same album in my files it works fine.,"@155917 Hey Jordan, we'd love to help! Just to check, is this happening on all tracks or just specific albums? Can you let us know your Spotify version? We'll see what we can suggest /JP",,
138,playback_issue,Cmon @115888 just cuz i dont have premium doesnt mean yall can throw random shit like this in bryson tiller shuffle play smh tf is this,"@465543 2: To reduce the number of Suggested Tracks you get, try adding more artists into your playlists /LO",,
139,playback_issue,@115888 what have Daft Punk done to upset you?? Can't play any of their songs. Please do not tell me they're leaving!?!,"@541781 Hi Stevie, that doesn't sound good. Could you DM us your account's username or email address? We'll check things out under the hood /JO",,
